Rank,Name,Profile Link
1,Guiwu Wei,https://scholargps.com/scholars/78021622765809/guiwu-wei
2,Mike Thelwall,https://scholargps.com/scholars/37192170410417/mike-thelwall
3,Andrew Gelman,https://scholargps.com/scholars/54874277864582/andrew-gelman
4,Malin Song,https://scholargps.com/scholars/54475957797840/malin-song
5,Daniel Rueckert,https://scholargps.com/scholars/32739527174271/daniel-rueckert
6,Jianzhou Wang,https://scholargps.com/scholars/80604708315804/jianzhou-wang
7,Muhammad Aslam,https://scholargps.com/scholars/27977104345336/muhammad-aslam
8,Deyu Meng,https://scholargps.com/scholars/19802777203731/deyu-meng
10,Douglas G. Altman,https://scholargps.com/scholars/48522964413277/douglas-g-altman
11,Kyungdo Han,https://scholargps.com/scholars/74105335250496/kyungdo-han
12,Gary S. Collins,https://scholargps.com/scholars/97605358492583/gary-s-collins
13,Johann S. De Bono,https://scholargps.com/scholars/22943727653473/johann-s-de-bono
14,Serge Hercberg,https://scholargps.com/scholars/13027911474928/serge-hercberg
15,Trevor Hastie,https://scholargps.com/scholars/46835416988469/trevor-hastie
16,Massimo Ciccozzi,https://scholargps.com/scholars/38368109515868/massimo-ciccozzi
17,Rob J. Hyndman,https://scholargps.com/scholars/97330988417379/rob-j-hyndman
18,Andreas Holzinger,https://scholargps.com/scholars/63558266544714/andreas-holzinger
19,Peng Ding,https://scholargps.com/scholars/27359012663364/peng-ding
20,Yong Du,https://scholargps.com/scholars/30534071256406/yong-du
21,Naomi Altman,https://scholargps.com/scholars/62936355648562/naomi-altman
22,Giovanni Sotgiu,https://scholargps.com/scholars/48864668831229/giovanni-sotgiu
23,Gerta Rücker,https://scholargps.com/scholars/46275681792758/gerta-rucker
24,Martin J. Wainwright,https://scholargps.com/scholars/41600648351013/martin-j-wainwright
26,Satya N. Majumdar,https://scholargps.com/scholars/58885610001161/satya-n-majumdar
27,Dylan S. Small,https://scholargps.com/scholars/82363233696669/dylan-s-small
28,Martin Krzywinski,https://scholargps.com/scholars/22674494218081/martin-krzywinski
29,Adam M. Phillippy,https://scholargps.com/scholars/57082214322872/adam-m-phillippy
30,Abdul Haq,https://scholargps.com/scholars/76762668788433/abdul-haq
31,David B. Dunson,https://scholargps.com/scholars/47670272104442/david-b-dunson
32,Stuart J. Pocock,https://scholargps.com/scholars/21445127017796/stuart-j-pocock
33,Giovanni Corrao,https://scholargps.com/scholars/90565966730937/giovanni-corrao
34,Bin Xu,https://scholargps.com/scholars/71524100885726/bin-xu
35,Marcel A. L. M. Van Assen,https://scholargps.com/scholars/36265512835234/marcel-a-l-m-van-assen
36,Antonio Gasparrini,https://scholargps.com/scholars/37158100949600/antonio-gasparrini
37,Yvan Saeys,https://scholargps.com/scholars/39773707655258/yvan-saeys
38,Maxim Finkelstein,https://scholargps.com/scholars/17738166386261/maxim-finkelstein
39,Umapada Pal,https://scholargps.com/scholars/76787955230101/umapada-pal
40,Anna Chaimani,https://scholargps.com/scholars/84968385947868/anna-chaimani
41,José Crossa,https://scholargps.com/scholars/11402201079763/jose-crossa
42,Sergey Koren,https://scholargps.com/scholars/15103000048547/sergey-koren
43,Jiu-Ying Dong,https://scholargps.com/scholars/69619114487431/jiu-ying-dong
45,Jun Cheng,https://scholargps.com/scholars/71957768360152/jun-cheng
